long;lat;nro_registro;tipo_activ;comuna;manzana;calle_nombre;calle_altura;calle_chapa;direccion_normalizada;ubicacion;nombre_cientifico;ancho_acera;estado_plantera;ubicacion_plantera;nivel_plantera;diametro_altura_pecho;altura_arbol;geometry;index_right;BARRIO;COMUNA
;;28091;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Jacaranda mimosifolia;;Ocupada;Regular;Elevada;10.0;5.0;;;;
;;29346;Lineal;1;;Vigna Ana;100.0;123.0;;Exacta;No identificado;2.8;Ocupada;Regular;A nivel;0.0;;;;;
;;32159;Lineal;1;;Suipacha;1300.0;1679.0;;Exacta;Tilia x moltkei;2.8;Ocupada;Regular;A nivel;4.0;3.0;;;;
;;33224;Lineal;1;;9 de Julio Av.;1400.0;1465.0;;En frente;Phytolacca dioica;;Ocupada;;Elevada;160.0;7.0;;;;
;;33229;Lineal;1;;9 de Julio Av.;1400.0;1465.0;;En frente;Tipuana tipu;7.9;Ocupada;Regular;A nivel;;28.0;;;;
;;33232;Lineal;1;;9 de Julio Av.;1400.0;1465.0;;En frente;Platanus x acerifolia;3.5;Ocupada;Regular;Elevada;;15.0;;;;
;;33387;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Syagrus romanzoffiana;;Ocupada;Regular;A nivel;22.0;8.0;;;;
;;34600;Lineal;1;;9 de Julio Av.;1400.0;1465.0;;En frente;Ceiba speciosa;;Ocupada;Ochava;Elevada;54.0;8.0;;;;
;;34605;Lineal;1;;9 de Julio Av.;1400.0;1465.0;;En frente;Phytolacca dioica;6.5;Ocupada;;Elevada;95.0;13.0;;;;
;;34608;Lineal;1;;9 de Julio Av.;1400.0;1465.0;;En frente;Phoenix roebelenii;;Ocupada;;Elevada;20.0;2.0;;;;
;;36543;Lineal;1;;Manso Juana Av.;;;;;Platanus x acerifolia;6.9;Ocupada;Regular;A nivel;5.0;4.0;;;;
;;36544;Lineal;1;;Manso Juana Av.;;;;;Platanus x acerifolia;6.9;Ocupada;Regular;A nivel;6.0;4.0;;;;
;;36545;Lineal;1;;Manso Juana Av.;;;;;Platanus x acerifolia;6.9;Ocupada;Regular;A nivel;4.0;3.0;;;;
;;36574;Lineal;1;;Manso Juana Av.;;;;;Platanus x acerifolia;6.9;Ocupada;Regular;A nivel;5.0;3.0;;;;
;;36576;Lineal;1;;Manso Juana Av.;;;;;Platanus x acerifolia;6.9;Ocupada;Regular;A nivel;6.0;4.0;;;;
;;39466;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Jacaranda mimosifolia;;Ocupada;Regular;;21.0;8.0;;;;
;;39471;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Jacaranda mimosifolia;;Ocupada;Regular;;15.0;7.0;;;;
;;39477;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Jacaranda mimosifolia;;Ocupada;Regular;;14.0;8.0;;;;
;;39479;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Jacaranda mimosifolia;;Ocupada;Regular;;15.0;7.0;;;;
;;39480;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Bauhinia forficata;;Ocupada;Regular;;8.0;4.0;;;;
;;38807;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Ceiba speciosa;;Ocupada;Regular;Elevada;125.0;8.0;;;;
;;40348;Lineal;1;;Córdoba Av.;100.0;100.0;;LA;Populus deltoides;5.2;Ocupada;Regular;A nivel;45.0;10.0;;;;
;;43406;Lineal;1;;9 de Julio Av.;;;9 DE JULIO AV.;;Jacaranda mimosifolia;;Ocupada;Regular;Elevada;13.0;6.0;;;;
;;45685;Lineal;1;;Saenz Peña Roque,Pres. Diagonal Norte Av. ;;;SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.;;Platanus x acerifolia;4.2;Ocupada;Regular;A nivel;54.0;18.0;;;;
;;47534;Lineal;1;;Saenz Peña Roque,Pres. Diagonal Norte Av. ;;24.0;;Exacta;Platanus x acerifolia;10;Ocupada;Fuera de línea;Elevada;43.0;21.0;;;;
;;48288;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;Bajo nivel;12.0;3.0;;;;
;;48046;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;11.0;4.0;;;;
;;48049;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;11.0;5.0;;;;
;;48051;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;8.0;4.0;;;;
;;48055;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;12.0;6.0;;;;
;;48556;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Tipuana tipu;;Ocupada;Ochava;A nivel;94.0;26.0;;;;
;;48569;Lineal;1;;Defensa;1500.0;1.0;;LD;Styphnolobium japonicum;3;Ocupada;Regular;A nivel;51.0;19.0;;;;
;;48343;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;7;Ocupada;Regular;A nivel;11.0;3.0;;;;
;;48349;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;7;Ocupada;Regular;A nivel;11.0;5.0;;;;
;;48595;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;7;Ocupada;Regular;A nivel;11.0;5.0;;;;
;;48599;Lineal;1;;Paseo Colón Av.;150012.0;;PASEO COLON AV.;LA;Fraxinus pennsylvanica;4.2;Ocupada;Regular;A nivel;15.0;6.0;;;;
;;48601;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;7;Ocupada;Regular;A nivel;13.0;4.0;;;;
;;48603;Lineal;1;;García Martín Av.;1500.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;;Ocupada;Regular;A nivel;10.0;5.0;;;;
;;48345;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;14.0;3.0;;;;
;;48346;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;11.0;6.0;;;;
;;48347;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;;Ocupada;Regular;A nivel;12.0;5.0;;;;
;;48348;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;11.0;4.0;;;;
;;48604;Lineal;1;;García Martín Av.;2001.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;9.0;4.0;;;;
;;48605;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;10.0;6.0;;;;
;;48606;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;11.0;5.0;;;;
;;48608;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;12.0;4.0;;;;
;;48640;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;7.0;4.0;;;;
;;48647;Lineal;1;;García Martín Av.;200.0;;GARCIA, MARTIN AV.;LA;Jacaranda mimosifolia;6;Ocupada;Regular;A nivel;13.0;5.0;;;;
;;48648;Lineal;1;;Defensa;1700.0;1.0;;LD;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A nivel;40.0;14.0;;;;
;;49065;Lineal;1;;Luisoni Arturo P. Mayor;2500.0;2545.0;;En frente;Platanus x acerifolia;3.2;Ocupada;Regular;A nivel;55.0;9.0;;;;
;;49068;Lineal;1;;Luisoni Arturo P. Mayor;2500.0;2545.0;;En frente;Platanus x acerifolia;3.2;Ocupada;Regular;A nivel;55.0;8.0;;;;
;;49327;Lineal;1;;De la Rábida Av.;0.0;;;;Handroanthus impetiginosus;6;Ocupada;Regular;A nivel;45.0;11.0;;;;
;;49328;Lineal;1;;De la Rábida Av.;0.0;;;;Platanus x acerifolia;6;Ocupada;Regular;A nivel;109.0;17.0;;;;
;;49329;Lineal;1;;De la Rábida Av.;0.0;;;;Platanus x acerifolia;12;Ocupada;Regular;A nivel;84.0;16.0;;;;
;;49330;Lineal;1;;De la Rábida Av.;0.0;;;;Platanus x acerifolia;12;Ocupada;Regular;A nivel;69.0;17.0;;;;
;;49421;Lineal;1;;Constitución;1000.0;;CONSTITUCION;LA;Jacaranda mimosifolia;2;Ocupada;Regular;A nivel;3.0;3.0;;;;
;;50409;Lineal;1;;Constitución;1000.0;;CONSTITUCION;LA;Jacaranda mimosifolia;2.27;Ocupada;Regular;A nivel;3.0;3.0;;;;
;;50532;Lineal;1;;De la Rábida Av.;;;;;Platanus x acerifolia;6;Ocupada;Regular;;96.0;16.0;;;;
;;50533;Lineal;1;;De la Rábida Av.;;;;;Platanus x acerifolia;12;Ocupada;Regular;A nivel;127.0;17.0;;;;
;;50537;Lineal;1;;De la Rábida Av.;;;;;Platanus x acerifolia;10;Ocupada;Regular;A nivel;99.0;17.0;;;;
;;50545;Lineal;1;;De la Rábida Av.;;;;;Handroanthus impetiginosus;6;Ocupada;Regular;;41.0;8.0;;;;
;;50631;Lineal;1;;De la Rábida Av.;;;;;Platanus x acerifolia;11;Ocupada;Regular;A nivel;61.0;17.0;;;;
;;50632;Lineal;1;;De la Rábida Av.;;;;;Platanus x acerifolia;5;Ocupada;Regular;A nivel;79.0;16.0;;;;
;;50633;Lineal;1;;De la Rábida Av.;;;;;Phoenix canariensis;;Ocupada;Fuera de línea;Elevada;70.0;22.0;;;;
;;50639;Lineal;1;;De la Rábida Av.;;;;;Platanus x acerifolia;;Ocupada;Regular;A nivel;52.0;17.0;;;;
;;52075;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;26.0;7.0;;;;
;;52077;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;31.0;6.0;;;;
;;52079;Lineal;1;;Achaval Rodriguez Tristán Dr. Av.;;;;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;36.0;7.0;;;;
;;52084;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;5.8;Ocupada;Regular;A nivel;19.0;6.0;;;;
;;52134;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;;A nivel;29.0;9.0;;;;
;;52137;Lineal;1;;Achaval Rodriguez Tristán Dr. Av.;;;;LA;Jacaranda mimosifolia;3.8;Ocupada;Ochava;A nivel;70.0;9.0;;;;
;;52715;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;26.0;9.0;;;;
;;52718;Lineal;1;;Calabria Av.;;;CALABRIA AV.;;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;24.0;8.0;;;;
;;52719;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Tipuana tipu;3.8;Ocupada;Regular;A nivel;37.0;11.0;;;;
;;52974;Lineal;1;;Alvear Marcelo Torcuato de;700.0;787.0;;LD;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;7.0;2.0;;;;
;;52983;Lineal;1;;Alvear Marcelo Torcuato de;700.0;783.0;;Exacta;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;7.0;3.0;;;;
;;52987;Lineal;1;;Alvear Marcelo Torcuato de;700.0;777.0;;LA;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;10.0;3.0;;;;
;;52990;Lineal;1;;Alvear Marcelo Torcuato de;700.0;777.0;;Exacta;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;7.0;2.0;;;;
;;52992;Lineal;1;;Alvear Marcelo Torcuato de;700.0;745.0;;LA;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;11.0;4.0;;;;
;;52994;Lineal;1;;Alvear Marcelo Torcuato de;700.0;745.0;;LA;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;11.0;5.0;;;;
;;52996;Lineal;1;;Alvear Marcelo Torcuato de;700.0;745.0;;LD;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;8.0;3.0;;;;
;;52997;Lineal;1;;Alvear Marcelo Torcuato de;700.0;740.0;;En frente;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;11.0;4.0;;;;
;;53000;Lineal;1;;Alvear Marcelo Torcuato de;700.0;715.0;;Exacta;Photinia x fraseri;3.2;Ocupada;Regular;A nivel;8.0;3.0;;;;
;;52561;Lineal;1;;Achaval Rodriguez Tristán Dr. Av.;;;;LA;Jacaranda mimosifolia;;Ocupada;Regular;;38.0;10.0;;;;
